fileName;precision;recall
906.csv;;0
3295.csv;0;0
3963.csv;;
4488.csv;;
346.csv;;
2693.csv;;
889.csv;;0
3978.csv;;
3149.csv;;0
1679.csv;0;0
1927.csv;;0
152.csv;;0
2571.csv;0.5;0.25
4765.csv;;0
1562.csv;0;0
4148.csv;0;0
3476.csv;;
4971.csv;;0
1684.csv;;0
4932.csv;;0
4143.csv;1.0;0.4
3283.csv;;0
3570.csv;0;0
2860.csv;;0
718.csv;;
3914.csv;;0
546.csv;0;0
604.csv;0;0
2634.csv;;
4152.csv;;
3438.csv;;
3821.csv;;0
4960.csv;;0
1430.csv;0;0
2202.csv;;
4184.csv;;0
390.csv;;0
1299.csv;;0
1450.csv;;
723.csv;;
3281.csv;0.5;0.5
1329.csv;;0
2115.csv;;0
1159.csv;;
1230.csv;;0
2702.csv;1.0;1.0
1375.csv;;0
2412.csv;;
4655.csv;;
492.csv;;
1644.csv;;
2598.csv;;0
385.csv;;
2379.csv;;
1662.csv;0;0
3571.csv;;
2988.csv;0;0
4164.csv;;0
1754.csv;;
3128.csv;;0
3939.csv;0;0
2932.csv;;0
3942.csv;;0
4162.csv;;0
2169.csv;0;0
2892.csv;;0
342.csv;0;0
4835.csv;;0
2939.csv;;0
3287.csv;;0
4045.csv;;0
2041.csv;;
2447.csv;;0
3379.csv;;0
1522.csv;;
1283.csv;;
3704.csv;;0
2558.csv;;
2670.csv;;
4264.csv;1.0;1.0
474.csv;;
3217.csv;0.5;0.5
3090.csv;;0
4341.csv;;
2215.csv;;
2813.csv;;
4777.csv;0;0
4276.csv;;0
4657.csv;;0
3808.csv;0;0
1715.csv;;0
1166.csv;;
994.csv;;
1746.csv;0;0
1512.csv;0;0
3316.csv;;0
2806.csv;0;0
3062.csv;;
777.csv;;
3219.csv;0;0
3263.csv;;0
2755.csv;;
2729.csv;;0
222.csv;0.5;0.3333333333333333
1170.csv;;
1821.csv;;0
4275.csv;0;0
595.csv;0;0
2150.csv;;0
3115.csv;;0
1882.csv;;0
4600.csv;1.0;0.25
4389.csv;;0
1141.csv;1.0;0.5
2929.csv;0;0
388.csv;;
4966.csv;;0
4098.csv;;0
4185.csv;;0
4597.csv;0;0
577.csv;;
536.csv;;
2426.csv;;0
1173.csv;;0
2237.csv;;
1595.csv;;
3297.csv;1.0;1.0
1822.csv;;
1504.csv;;
3574.csv;;
4842.csv;0;0
609.csv;0;0
4187.csv;0.5;0.2
1734.csv;0;0
3153.csv;;0
3515.csv;;0
3967.csv;1.0;1.0
124.csv;0;0
715.csv;0;0
552.csv;;0
4251.csv;0;0
3787.csv;;
2630.csv;;
4441.csv;;0
2254.csv;;0
4869.csv;;0
3543.csv;0;0
2962.csv;;0
3936.csv;;0
1481.csv;;0
1432.csv;;0
1436.csv;;
3555.csv;;0
1317.csv;0;0
673.csv;;0
1264.csv;;
1368.csv;;0
4250.csv;0.6666666666666666;1.0
1215.csv;0;0
2680.csv;0;0
4357.csv;;0
1561.csv;0.5;1.0
4297.csv;;0
4563.csv;;
2424.csv;;0
1967.csv;;
2663.csv;;
2182.csv;1.0;0.6666666666666666
49.csv;;0
3308.csv;;0
4895.csv;;
381.csv;;0
997.csv;;
85.csv;0.5;0.2
556.csv;0;0
1265.csv;1.0;0.6666666666666666
1229.csv;;
1678.csv;;
274.csv;;
3372.csv;;
1232.csv;;
690.csv;0;0
3142.csv;;0
2543.csv;0;0
3803.csv;1.0;0.6666666666666666
666.csv;;
901.csv;0.5;0.3333333333333333
4886.csv;1.0;0.4
3103.csv;;0
4725.csv;;0
4732.csv;;
4472.csv;0;0
220.csv;;0
3927.csv;0;0
2152.csv;0.5;0.5
31.csv;0;0
658.csv;0;0
3763.csv;0;0
4807.csv;1.0;0.5
1427.csv;;
4430.csv;0;0
24.csv;0.5;0.5
2453.csv;;0
3530.csv;;0
3328.csv;;0
4980.csv;;
4905.csv;0;0
4511.csv;;
565.csv;;0
3539.csv;0;0
4569.csv;0;0
2641.csv;;0
4562.csv;0;0
3002.csv;0.5;0.25
4136.csv;;0
4637.csv;;
1131.csv;;0
3268.csv;;0
3839.csv;0.5;0.5
1494.csv;;
2354.csv;;0
4669.csv;1.0;1.0
4911.csv;;
1092.csv;;0
3321.csv;;
2170.csv;;
4296.csv;0;0
963.csv;;
4631.csv;;0
2556.csv;;
3875.csv;;
3921.csv;;0
2282.csv;;
4483.csv;;
4694.csv;0;0
3317.csv;;
730.csv;;0
4192.csv;;
1699.csv;;
4035.csv;0;0
1693.csv;;0
1527.csv;;0
3258.csv;;
1132.csv;;0
3348.csv;;0
1407.csv;0;0
3697.csv;0;0
4991.csv;;
551.csv;;0
359.csv;1.0;0.5
1976.csv;;0
1352.csv;0;0
4798.csv;;0
4782.csv;;0
3055.csv;;
2272.csv;;0
2181.csv;;
3274.csv;;
1847.csv;;
1277.csv;0;0
1096.csv;;0
1433.csv;;
4161.csv;;0
2278.csv;0;0
2797.csv;;
4292.csv;;0
3542.csv;;0
172.csv;0;0
1336.csv;;0
334.csv;;
1341.csv;1.0;1.0
2645.csv;;0
1906.csv;;0
2127.csv;;0
