fileName;precision;recall
1211.csv;1.0;0.01
976.csv;1.0;0.01
3903.csv;1.0;0.01
704.csv;1.0;0.02
3589.csv;;0
2619.csv;1.0;0.04
1881.csv;1.0;0.02
1992.csv;;0
664.csv;1.0;0.01
3955.csv;1.0;0.03
641.csv;;0
662.csv;1.0;0.02
4508.csv;1.0;0.01
865.csv;;0
4302.csv;;0
3786.csv;;0
3974.csv;;0
2201.csv;;0
3585.csv;;0
4400.csv;1.0;0.01
3343.csv;;0
3772.csv;1.0;0.02
3179.csv;1.0;0.04
2964.csv;1.0;0.02
184.csv;1.0;0.01
2035.csv;1.0;0.02
4213.csv;1.0;0.03
870.csv;;0
1417.csv;;0
3212.csv;1.0;0.04
1103.csv;1.0;0.01
2600.csv;1.0;0.03
2293.csv;1.0;0.01
2324.csv;;0
735.csv;1.0;0.02
2294.csv;;0
4627.csv;1.0;0.03
1155.csv;1.0;0.02
996.csv;1.0;0.02
3687.csv;1.0;0.01
1081.csv;;0
3364.csv;1.0;0.02
2554.csv;1.0;0.01
317.csv;1.0;0.02
3229.csv;;0
328.csv;1.0;0.01
4142.csv;1.0;0.02
2499.csv;;0
1987.csv;;0
2873.csv;;0
4934.csv;;0
3260.csv;;0
763.csv;1.0;0.02
4982.csv;1.0;0.02
3042.csv;1.0;0.03
1677.csv;1.0;0.02
3345.csv;;0
2204.csv;1.0;0.04
4977.csv;1.0;0.01
4890.csv;1.0;0.01
2394.csv;1.0;0.04
1477.csv;;0
123.csv;1.0;0.01
3533.csv;1.0;0.04
408.csv;;0
3556.csv;;0
2276.csv;1.0;0.03
923.csv;;0
1771.csv;1.0;0.01
2085.csv;1.0;0.02
1374.csv;1.0;0.02
2386.csv;1.0;0.02
2734.csv;;0
4349.csv;1.0;0.03
4109.csv;1.0;0.02
4154.csv;1.0;0.01
448.csv;1.0;0.03
1146.csv;;0
2485.csv;;0
2859.csv;1.0;0.03
4880.csv;;0
3625.csv;1.0;0.02
463.csv;1.0;0.03
4793.csv;;0
3614.csv;;0
3794.csv;;0
2062.csv;;0
238.csv;;0
4549.csv;1.0;0.01
2325.csv;;0
1348.csv;1.0;0.04
617.csv;1.0;0.01
3353.csv;1.0;0.02
2945.csv;1.0;0.01
4033.csv;;0
2198.csv;1.0;0.01
3500.csv;;0
3872.csv;1.0;0.02
3957.csv;1.0;0.05
4314.csv;1.0;0.01
1797.csv;1.0;0.01
1053.csv;1.0;0.02
2977.csv;;0
899.csv;;0
3825.csv;1.0;0.02
236.csv;1.0;0.01
1926.csv;1.0;0.03
2162.csv;1.0;0.01
785.csv;;0
411.csv;1.0;0.02
4333.csv;1.0;0.02
4753.csv;1.0;0.04
4668.csv;;0
1226.csv;;0
53.csv;1.0;0.03
4171.csv;1.0;0.01
1962.csv;;0
3094.csv;;0
1905.csv;;0
2256.csv;1.0;0.01
2590.csv;1.0;0.01
584.csv;1.0;0.03
1622.csv;;0
441.csv;;0
773.csv;1.0;0.01
4290.csv;1.0;0.01
3736.csv;1.0;0.01
2275.csv;;0
3423.csv;1.0;0.04
3352.csv;1.0;0.01
2048.csv;;0
1306.csv;;0
1531.csv;;0
3447.csv;;0
858.csv;1.0;0.05
4214.csv;1.0;0.01
146.csv;1.0;0.02
3310.csv;1.0;0.02
1409.csv;;0
3270.csv;1.0;0.02
4634.csv;1.0;0.02
278.csv;1.0;0.01
2253.csv;1.0;0.01
3631.csv;;0
4951.csv;1.0;0.01
1517.csv;;0
2640.csv;1.0;0.01
2042.csv;1.0;0.01
1944.csv;1.0;0.02
2300.csv;;0
429.csv;1.0;0.01
1222.csv;;0
4044.csv;1.0;0.02
2606.csv;;0
2268.csv;1.0;0.01
4165.csv;;0
2000.csv;;0
3495.csv;1.0;0.04
4622.csv;;0
280.csv;1.0;0.01
1058.csv;1.0;0.05
4603.csv;;0
1250.csv;;0
765.csv;1.0;0.01
3923.csv;1.0;0.01
2449.csv;1.0;0.01
4256.csv;1.0;0.02
1224.csv;1.0;0.01
4429.csv;1.0;0.03
4312.csv;1.0;0.02
2559.csv;1.0;0.02
3947.csv;1.0;0.01
3723.csv;1.0;0.01
397.csv;1.0;0.01
469.csv;;0
920.csv;;0
4959.csv;;0
4767.csv;;0
4915.csv;;0
1324.csv;1.0;0.02
2505.csv;;0
566.csv;1.0;0.02
79.csv;;0
3315.csv;1.0;0.01
545.csv;1.0;0.01
37.csv;;0
1354.csv;1.0;0.03
4147.csv;1.0;0.02
3294.csv;1.0;0.01
2186.csv;1.0;0.01
4435.csv;;0
4997.csv;1.0;0.01
828.csv;;0
3748.csv;;0
3400.csv;1.0;0.01
27.csv;1.0;0.01
532.csv;1.0;0.01
1495.csv;1.0;0.04
3491.csv;1.0;0.02
1724.csv;1.0;0.02
3355.csv;;0
3098.csv;;0
2330.csv;;0
1408.csv;;0
2076.csv;1.0;0.01
4548.csv;1.0;0.02
1320.csv;1.0;0.01
1426.csv;1.0;0.01
414.csv;1.0;0.02
3135.csv;1.0;0.03
1788.csv;;0
3246.csv;1.0;0.03
1997.csv;;0
4505.csv;;0
1643.csv;1.0;0.01
1827.csv;1.0;0.02
159.csv;;0
2097.csv;1.0;0.01
3474.csv;1.0;0.01
2133.csv;1.0;0.01
3107.csv;;0
413.csv;1.0;0.02
602.csv;1.0;0.01
2003.csv;1.0;0.01
667.csv;1.0;0.02
3639.csv;;0
4817.csv;1.0;0.01
3832.csv;1.0;0.04
2288.csv;;0
3339.csv;;0
161.csv;;0
4018.csv;1.0;0.02
1457.csv;1.0;0.03
3576.csv;;0
1866.csv;;0
1297.csv;;0
4504.csv;;0
3279.csv;1.0;0.02
682.csv;1.0;0.04
1020.csv;1.0;0.04
1474.csv;1.0;0.04
4205.csv;1.0;0.01
4104.csv;;0
68.csv;;0
1971.csv;1.0;0.01
547.csv;;0
1332.csv;1.0;0.01
4379.csv;1.0;0.01
575.csv;;0
3837.csv;;0
974.csv;1.0;0.01
4501.csv;1.0;0.01
683.csv;;0
3851.csv;;0
4167.csv;1.0;0.03
2022.csv;1.0;0.02
431.csv;;0
4217.csv;1.0;0.03
2845.csv;1.0;0.03
4949.csv;1.0;0.02
4952.csv;1.0;0.01
2985.csv;1.0;0.02
2346.csv;;0
4484.csv;;0
1784.csv;1.0;0.02
3842.csv;;0
4881.csv;;0
4851.csv;;0
3427.csv;;0
4359.csv;1.0;0.01
4889.csv;1.0;0.02
871.csv;1.0;0.03
4061.csv;1.0;0.02
1260.csv;;0
1381.csv;1.0;0.01
1282.csv;;0
1220.csv;;0
928.csv;1.0;0.02
255.csv;;0
4059.csv;1.0;0.01
1116.csv;1.0;0.02
4686.csv;;0
1253.csv;1.0;0.01
717.csv;1.0;0.02
1691.csv;1.0;0.01
1043.csv;1.0;0.02
122.csv;1.0;0.02
1568.csv;;0
4546.csv;1.0;0.05
2783.csv;1.0;0.02
1238.csv;;0
1178.csv;;0
1786.csv;1.0;0.03
793.csv;1.0;0.01
1820.csv;;0
2171.csv;1.0;0.01
4415.csv;;0
2380.csv;;0
313.csv;;0
3304.csv;1.0;0.02
4189.csv;1.0;0.02
1218.csv;1.0;0.01
2513.csv;1.0;0.02
4114.csv;1.0;0.01
2560.csv;1.0;0.02
1350.csv;;0
4387.csv;;0
512.csv;1.0;0.02
3756.csv;1.0;0.03
2905.csv;1.0;0.02
948.csv;;0
4723.csv;1.0;0.03
1268.csv;;0
2931.csv;1.0;0.02
1372.csv;;0
4268.csv;1.0;0.03
4813.csv;1.0;0.01
4547.csv;;0
3970.csv;;0
4388.csv;1.0;0.02
4512.csv;1.0;0.03
1526.csv;1.0;0.01
2007.csv;1.0;0.01
2531.csv;1.0;0.01
3878.csv;1.0;0.05
2260.csv;1.0;0.02
2997.csv;1.0;0.02
399.csv;1.0;0.02
593.csv;1.0;0.01
3960.csv;;0
3812.csv;;0
2199.csv;1.0;0.02
4700.csv;1.0;0.01
4829.csv;1.0;0.01
1470.csv;1.0;0.01
1615.csv;;0
1646.csv;1.0;0.03
1508.csv;1.0;0.02
128.csv;;0
4800.csv;1.0;0.02
2235.csv;;0
2730.csv;1.0;0.02
194.csv;;0
3771.csv;1.0;0.03
3155.csv;1.0;0.02
903.csv;1.0;0.01
3888.csv;;0
938.csv;;0
4559.csv;;0
4107.csv;1.0;0.02
2319.csv;;0
475.csv;1.0;0.01
695.csv;1.0;0.02
2615.csv;;0
4946.csv;1.0;0.02
3497.csv;;0
4308.csv;1.0;0.03
4037.csv;1.0;0.01
2550.csv;;0
1843.csv;;0
4097.csv;1.0;0.02
1641.csv;;0
4269.csv;;0
2018.csv;;0
